Timesteps,Episode_Reward
1000,-42.073171362280846
2000,-28.57142899930477
3000,-29.07801593095064
4000,-25.925926811993122
5000,-33.55482018738985
6000,-21.568627007305622
7000,-32.20339263230562
8000,-25.170068196952343
9000,-26.829271107912064
10000,-21.34831741452217
11000,-10.93117754906416
12000,-33.96226480603218
13000,-27.586207658052444
14000,-39.481269627809525
15000,-34.640525944530964
16000,-22.779922135174274
17000,-32.58427222818136
18000,-31.271480686962605
19000,-47.040500819683075
20000,-45.84837807714939
21000,-47.019870318472385
22000,-67.21311631053686
23000,-67.10526528209448
24000,-48.90511202067137
25000,-52.380953066051006
26000,-69.32515444606543
27000,-83.38870587944984
28000,-82.39436736702919
29000,-82.993198543787
30000,-81.01265922188759
31000,-82.07885494828224
32000,-81.06060734391212
32513,-128.09769071638584
33068,-124.05203852802515
34068,-54.69255804270506
35068,13.636363871395588
36068,-2.255639098584652
37068,-33.121018916368484
38068,-28.571428805589676
39068,-27.586207658052444
40068,-28.81356218457222
41068,-35.27508223801851
42068,-35.897435791790485
43068,-30.92105534672737
44068,-82.07885494828224
45068,-81.75182643532753
46068,-83.92283073067665
47068,-84.02556052803993
48068,-82.14285841584206
49068,-4.024768605828285
50068,-31.40794514119625
51068,9.215013585984707
52068,-26.573429137468338
53068,-29.530204087495804
54068,-28.32764771580696
55068,12.359547026455402
56068,-34.16928055882454
57068,-31.59609082341194
58068,-25.266906768083572
59068,18.110231764614582
60068,-32.20339263230562
61068,-33.333336383104324
62068,-5.198780313134193
63068,-1.63934575766325
64068,-32.4758839905262
65068,-33.96226480603218
66068,-22.50922730565071
66888,-125.01377377659082
67888,-36.026938900351524
68888,-30.069932587444782
69451,-114.69056659936905
70451,-39.716313779354095
70878,-121.0946247652173
71878,-84.12698569893837
72878,-81.48148289322853
73878,-82.75862208008766
74878,-81.48148289322853
75878,-83.55263343453407
76878,-82.63889065384865
77878,-83.71335616707802
78878,-82.26950517296791
79878,-80.62015643715858
80878,-83.92283073067665
81878,-81.75182643532753
82878,-83.66013231873512
83878,-82.69896379113197
84878,-82.51748433709145
85878,-83.38870587944984
86878,-84.66257801651955
87878,-84.22713032364845
88878,-80.64516215771437
89878,-63.21070437133312
90878,-81.48148289322853
91878,-83.87096872925758
92878,-82.69896379113197
93878,-85.63218536973
94878,-84.47205129265785
95878,-83.38870587944984
96878,-84.66257801651955
97878,-82.51748433709145
98878,-81.48148289322853
99878,-82.75862208008766
100878,-82.33215680718422
101878,-84.56790271401405
102878,-82.75862208008766
103878,-82.39436736702919
104878,-84.84848609566689
105878,-83.55263343453407
106878,-81.3432847559452
107878,-83.49835148453712
108878,-82.01439014077187
109878,-83.33333483338356
110878,-82.4561416208744
111878,-83.55263343453407
112878,-83.76623502373695
113878,-84.47205129265785
114878,-81.81818357110023
115878,-82.69896379113197
116878,-80.84291329979897
117878,-85.07462850213051
118878,-80.8743178397417
119878,-82.8767139017582
120878,-83.87096872925758
121878,-83.10810914635658
122878,-79.67479768395424
123878,-83.16498509049416
124878,-79.16666846722364
125878,-71.42857251316309
126878,-82.93515506386757
127878,-76.83397775143385
128878,-83.60655894875526
129878,-81.25000100582838
130878,-81.54981723427773
131878,-82.51748433709145
132878,-84.80243316292763
133878,-83.87096872925758
134878,-84.75609889626503
135878,-60.78431601077318
136878,-77.0491818934679
137878,-60.14492969214916
138878,-76.19047732651234
139878,-83.66013231873512
140878,-81.41264072060585
141878,-84.70948162674904
142878,-84.84848609566689
143878,-81.88405981659889
144878,-84.84848609566689
145878,-83.10810914635658
146878,-81.68498268723488
147878,-83.38870587944984
148878,-78.72340589016676
149878,-83.16498509049416
150878,-81.75182643532753
151878,-83.22147837281227
152878,-82.01439014077187
153878,-84.75609889626503
154878,-83.66013231873512
155878,-82.63889065384865
156878,-80.39215794205666
157878,-71.11913571506739
158878,-75.60975809395313
159878,-70.3947389125824
160878,-57.528957888484
161878,-74.16974349319935
162878,-82.26950517296791
163878,-32.692307502031326
164878,-66.03773713111877
165878,-92.8315429314971
166878,-89.58333502709866
167878,-93.61022516340017
168878,-92.6470603570342
169878,-94.31818338483572
170878,-70.49180483818054
171878,-68.45425906032324
172878,-76.74418702721596
173878,-77.94117789715528
174878,-84.02556052803993
175878,-41.37931126356125
176878,-80.83067231625319
177878,-77.63578410446644
178878,-74.35897512733936
179878,-82.993198543787
180878,-85.0299417078495
181878,-79.38144498318434
182878,-77.27272849529982
183878,-83.55263343453407
184878,-81.68498268723488
185878,-86.48648763448
186878,-82.01439014077187
187878,-83.97436013817787
188878,-82.39436736702919
189878,-84.98498669266701
190878,-79.45205646008253
191878,-83.49835148453712
192878,-67.94871868938208
193878,-64.15770830959082
194878,-80.76923184841871
195878,-82.75862208008766
196878,-81.61764851212502
197878,-83.16498509049416
198878,-84.07643428444862
199878,-84.12698569893837
200878,-81.88405981659889
201878,-78.57142978161573
202878,-81.88405981659889
203878,-71.42857251316309
204878,-83.16498509049416
205878,-79.71014685928822
206878,-80.89172082394361
207878,-79.45205646008253
208878,-68.96551847457886
209878,-71.32616696506739
210878,-72.6962474361062
211878,13.01369446516037
212878,-78.94736962765455
213878,-81.19122415035963
214878,-67.62590098381042
215878,-81.25000100582838
216878,-82.63889065384865
217878,-75.69444628059864
218878,-79.16666846722364
219878,-78.02197919040918
220878,-77.7777791544795
221878,-78.12500090897083
222878,-47.735194101929665
223878,-81.3333353549242
224878,-43.462898291647434
225878,-73.50993571430445
226878,-71.73144993931055
227878,-72.31834111362696
228878,-64.51612929999828
229878,-76.10921664536
230878,-65.77946829795837
231878,-43.70861214399338
232878,-77.52809148281813
233878,-74.63768310844898
234878,-75.60975809395313
235878,-38.461541302502155
236878,-72.76264686882496
237878,-43.143814980983734
238878,-65.98639550060034
239878,-66.2576697319746
240878,-68.53147053718567
241878,-74.54545636475086
242878,-65.71428770571947
243878,-59.18367428332567
244878,-78.33935218304396
245878,-60.6557392552495
246878,-23.076925687491894
247878,-63.56275510787964
248878,-43.03797420114279
249878,-21.311476923525333
250878,-65.03496708720922
251878,-46.3087273016572
252878,-73.5973614230752
253878,-76.74418740719557
254878,-79.65116401016712
255878,-73.50993571430445
256878,-77.61194138973951
257878,-75.69444628059864
258878,-65.51724257320166
259878,-83.33333483338356
260878,-63.087250515818596
261878,-67.5090274810791
262878,-79.45205646008253
263878,-72.41379437595606
264878,-73.24414906650782
265878,-72.31834111362696
266878,-75.60975809395313
267878,-74.35897512733936
