Timesteps,Episode_Reward
1000,-28.571428902447224
2000,-27.335642844438553
3000,-28.571428902447224
4000,-34.25605796277523
5000,-28.32764771580696
6000,-27.419355235993862
7000,-28.057555802166462
8000,-35.71428617089987
9000,-37.95620721578598
10000,-37.08609579503536
11000,-43.74999984353781
12000,-26.174499444663525
13000,-73.68421254307032
14000,-52.75590796023607
15000,-63.36996378749609
16000,-79.79798179119825
17000,-61.98830637335777
18000,-66.99670138210058
19000,-74.27652821689844
20000,-74.16974349319935
21000,-75.17730660736561
22000,-72.11155553162098
23000,-66.16541457176208
24000,-72.50859294086695
25000,-76.89769144356251
26000,-83.66013231873512
27000,-75.52447743713856
28000,-83.97436013817787
29000,-72.86821837723255
30000,-80.26315980404615
31000,-81.94946041703224
32000,-78.64768844097853
33000,-73.50993571430445
34000,-78.72340579330921
35000,-80.64516215771437
36000,-78.8732405230403
37000,-81.27340975403786
38000,-85.0746281221509
39000,-86.88524747639894
40000,-71.05263237655163
41000,11.888108715415001
42000,-86.18784657120705
43000,-65.90909194946289
44000,-70.6959713473916
45000,-76.66666813194752
46000,-33.121018916368484
47000,-46.031748712062836
48000,-75.26501889526844
49000,-71.98879732936621
50000,-83.55263343453407
