Timesteps,Episode_Reward
1000,-60.00000223517418
2000,-55.93220576643944
3000,-51.72413896769285
4000,-57.57575821131468
5000,-41.78082460165024
6000,-44.2622966170311
7000,-34.21052897721529
8000,-34.78261121362448
9000,-39.13043835759163
10000,-14.383565068244934
11000,-19.708032540977
12000,-21.42857163399458
13000,-35.48387015610933
14000,-23.34495060890913
15000,-38.775511398911476
16000,-17.910447530448437
17000,-2.0979049876332283
18000,-21.64179089665413
19000,-24.4604335129261
20000,-46.99646734446287
21000,-40.559442937374115
22000,-50.49505127966404
23000,-71.33758044242859
24000,-41.35802720487118
25000,1.7543862164020538
26000,-28.571428805589676
27000,-40.19933827966452
28000,-32.58427222818136
29000,-33.33333457261324
30000,-32.862191423773766
31000,2.83687761425972
32000,38.157890893518925
33000,18.64406408369541
34000,67.8832058981061
35000,131.6176470592618
36000,-8.088236212730408
37000,53.846148408949375
38000,119.17807553708553
39000,24.99999713152647
40000,223.193923920393
41000,167.51592909544706
42000,276.42586459219456
43000,82.11919848620892
44000,247.36842574179173
45000,38.576775304973125
46000,50.000001050531864
47000,297.6261262372136
48000,207.69230239838362
49000,351.0489433631301
50000,342.0731762498617
51000,116.8284782320261
